Customer ID,Age,Annual Income,Family Size,Education,Marital Status,Gender,Spending Score,Profession,Work Experience
5524,67,58138.0,0,Graduation,Single,,,,
2174,70,46344.0,2,Graduation,Single,,,,
4141,59,71613.0,0,Graduation,Together,,,,
6182,40,26646.0,1,Graduation,Together,,,,
5324,43,58293.0,1,PhD,Married,,,,
7446,57,62513.0,1,Master,Together,,,,
965,53,55635.0,1,Graduation,Divorced,,,,
6177,39,33454.0,1,PhD,Married,,,,
4855,50,30351.0,1,PhD,Together,,,,
5899,74,5648.0,2,PhD,Together,,,,
1994,41,,1,Graduation,Married,,,,
387,48,7500.0,0,Basic,Married,,,,
2125,65,63033.0,0,Graduation,Divorced,,,,
8180,72,59354.0,2,Master,Divorced,,,,
2569,37,17323.0,0,Graduation,Married,,,,
2114,78,82800.0,0,PhD,Single,,,,
9736,44,41850.0,2,Graduation,Married,,,,
4939,78,37760.0,0,Graduation,Together,,,,
6565,75,76995.0,1,Master,Married,,,,
2278,39,33812.0,1,2n Cycle,Single,,,,
9360,42,37040.0,0,Graduation,Married,,,,
5376,45,2447.0,1,Graduation,Married,,,,
1993,75,58607.0,1,PhD,Married,,,,
4047,70,65324.0,1,PhD,Married,,,,
1409,73,40689.0,1,Graduation,Together,,,,
7892,55,18589.0,0,Graduation,Single,,,,
2404,48,53359.0,2,Graduation,Married,,,,
5255,38,,1,Graduation,Single,,,,
9422,35,38360.0,1,Graduation,Married,,,,
1966,59,84618.0,0,PhD,Married,,,,
6864,35,10979.0,0,Master,Divorced,,,,
3033,61,38620.0,0,Master,Together,,,,
5710,54,40548.0,1,Graduation,Together,,,,
7373,72,46610.0,2,PhD,Divorced,,,,
8755,78,68657.0,0,Master,Married,,,,
10738,73,49389.0,2,Master,Single,,,,
4339,54,67353.0,1,PhD,Married,,,,
10755,48,23718.0,1,2n Cycle,Married,,,,
8595,51,42429.0,1,Graduation,Widow,,,,
2968,81,48948.0,0,PhD,Divorced,,,,
8601,44,80011.0,1,Graduation,Married,,,,
503,39,20559.0,1,Master,Married,,,,
8430,67,21994.0,1,Graduation,Together,,,,
7281,65,,0,PhD,Single,,,,
2139,49,7500.0,1,Master,Married,,,,
1371,48,79941.0,0,Graduation,Single,,,,
9909,28,7500.0,0,2n Cycle,Married,,,,
7286,56,41728.0,1,Graduation,Together,,,,
7244,73,,3,Graduation,Single,,,,
6566,70,72550.0,2,PhD,Married,,,,
8614,67,65486.0,1,Graduation,Widow,,,,
4114,60,79143.0,0,Master,Married,,,,
1331,47,35790.0,1,Graduation,Single,,,,
2225,47,82582.0,0,Graduation,Divorced,,,,
9381,46,66373.0,2,Graduation,Married,,,,
6260,69,82384.0,0,Master,Together,,,,
10383,58,70287.0,0,Graduation,Divorced,,,,
7437,36,27938.0,1,Graduation,Single,,,,
8557,42,,1,Graduation,Single,,,,
8375,56,55954.0,1,PhD,Married,,,,
6853,42,75777.0,0,Master,Single,,,,
